päringuklaster,omanik_url,keelatud_lehtedel,märkus
vabasukeldumine / freediving Eesti (ET),https://meregrupp.ee/,"/en/, /en/freediving/, freedive.ee",ET-kavatsus kuulub root'ile
allvee akadeemia / aquatic academy / meregrupp (bränd),https://meregrupp.ee/ ja /en/,"freedive.ee",brändiklaster; /en/ on sama lehe EN-versioon (hreflang-paar — mitte konkurents)
freediving course Estonia / freediving Tallinn / Level 1 / price / book / sign up / certification,https://meregrupp.ee/en/freediving/,"https://meregrupp.ee/, /en/, freedive.ee",kursuse- ja ostukavatsus — ainult Vaade B; freedive.ee tohib ainult linkida
Rummu fundive / guided dive Rummu (broneerimiskavatsus),https://meregrupp.ee/en/freediving/#rummu,"freedive.ee",broneeritav Rummu-kogemus on B; C kirjeldab kohta ja lingib
freediving in Estonia / Estonia freediving destination / freediving holiday Estonia,https://freedive.ee/,"https://meregrupp.ee/en/freediving/",sihtkohakavatsus — ainult Vaade C
Rummu quarry freediving / Rummu quarry diving (sihtkohakavatsus),https://freedive.ee/#rummu,"—",lõplik ingliskeelne Rummu-leht on C; B-s ainult lühikokkuvõte mis lingib C-le
Baltic water temperature by month / Estonia diving seasons,https://freedive.ee/#training,"meregrupp.ee kõik lehed",hooajatabel on C ainuvara
ice freediving / winter freediving Estonia / under-ice,https://freedive.ee/#training,"—",eristaja; B võib mainida treeningkonteksti lingiga C-le
merineitsi koolitus / mermaid Estonia,https://meregrupp.ee/,"/en/freediving/, freedive.ee",Mermaid kuulub katusportaalile; mitte freediving-vormidesse
allveevõitlus / underwater fights / MGVS / allveeskuutrid / DPV / vetelpääste koolitus,https://meregrupp.ee/,"/en/freediving/, freedive.ee",akadeemia ulatuse klastrid jäävad katusportaalile
